Data,Giorno,Tipo,Nota
13/02/2027,sab.,Scolastico,
14/02/2027,dom.,Festivo,
15/02/2027,lun.,Scolastico,
16/02/2027,mar.,Scolastico,
17/02/2027,mer.,Scolastico,
18/02/2027,gio.,Scolastico,
19/02/2027,ven.,Scolastico,
20/02/2027,sab.,Scolastico,
21/02/2027,dom.,Festivo,
22/02/2027,lun.,Scolastico,
23/02/2027,mar.,Scolastico,
24/02/2027,mer.,Scolastico,
25/02/2027,gio.,Scolastico,
26/02/2027,ven.,Scolastico,
27/02/2027,sab.,Scolastico,
28/02/2027,dom.,Festivo,
206/02/2027,nan,Scolastico,
205/02/2027,nan,Scolastico,
173/02/2027,nan,Scolastico,
172/02/2027,nan,Scolastico,
01/03/2027,lun.,Scolastico,
02/03/2027,mar.,Scolastico,
03/03/2027,mer.,Scolastico,
04/03/2027,gio.,Scolastico,
05/03/2027,ven.,Scolastico,
06/03/2027,sab.,Scolastico,
07/03/2027,dom.,Festivo,
08/03/2027,lun.,Scolastico,
09/03/2027,mar.,Scolastico,
10/03/2027,mer.,Scolastico,
11/03/2027,gio.,Scolastico,
12/03/2027,ven.,Scolastico,
13/03/2027,sab.,Scolastico,
14/03/2027,dom.,Festivo,
15/03/2027,lun.,Scolastico,
16/03/2027,mar.,Scolastico,
17/03/2027,mer.,Scolastico,
18/03/2027,gio.,Scolastico,
19/03/2027,ven.,Scolastico,
20/03/2027,sab.,Scolastico,
21/03/2027,dom.,Festivo,
22/03/2027,lun.,Scolastico,
23/03/2027,mar.,Scolastico,
24/03/2027,mer.,Scolastico,
25/03/2027,gio.,Festivo,vacanze pasquali
26/03/2027,ven.,Festivo,vacanze pasquali
27/03/2027,sab.,Festivo,vacanze pasquali
28/03/2027,dom.,Festivo,SANTA PASQUA
29/03/2027,lun.,Scolastico,LUNEDÌ DELL'ANGELO
30/03/2027,mar.,Festivo,vacanze pasquali
31/03/2027,mer.,Scolastico,
01/04/2027,gio.,Scolastico,
02/04/2027,ven.,Scolastico,
03/04/2027,sab.,Scolastico,
04/04/2027,dom.,Festivo,
05/04/2027,lun.,Scolastico,
06/04/2027,mar.,Scolastico,
07/04/2027,mer.,Scolastico,
08/04/2027,gio.,Scolastico,
09/04/2027,ven.,Scolastico,
10/04/2027,sab.,Scolastico,
11/04/2027,dom.,Festivo,
12/04/2027,lun.,Scolastico,
13/04/2027,mar.,Scolastico,
14/04/2027,mer.,Scolastico,
15/04/2027,gio.,Scolastico,
16/04/2027,ven.,Scolastico,
17/04/2027,sab.,Scolastico,
18/04/2027,dom.,Festivo,
19/04/2027,lun.,Scolastico,
20/04/2027,mar.,Scolastico,
21/04/2027,mer.,Scolastico,
22/04/2027,gio.,Scolastico,
23/04/2027,ven.,Scolastico,
24/04/2027,sab.,Scolastico,
25/04/2027,dom.,Festivo,FESTA DELLA LIBERAZIONE
26/04/2027,lun.,Scolastico,
27/04/2027,mar.,Scolastico,
28/04/2027,mer.,Scolastico,
29/04/2027,gio.,Scolastico,
30/04/2027,ven.,Scolastico,
01/05/2027,sab.,Festivo,FESTA DEL LAVORO
02/05/2027,dom.,Festivo,
03/05/2027,lun.,Scolastico,
04/05/2027,mar.,Scolastico,
05/05/2027,mer.,Scolastico,
06/05/2027,gio.,Scolastico,
07/05/2027,ven.,Scolastico,
08/05/2027,sab.,Scolastico,
09/05/2027,dom.,Festivo,
10/05/2027,lun.,Scolastico,
11/05/2027,mar.,Scolastico,
12/05/2027,mer.,Scolastico,
13/05/2027,gio.,Scolastico,
14/05/2027,ven.,Scolastico,
15/05/2027,sab.,Scolastico,
16/05/2027,dom.,Festivo,
17/05/2027,lun.,Scolastico,
18/05/2027,mar.,Scolastico,
19/05/2027,mer.,Scolastico,
20/05/2027,gio.,Scolastico,
21/05/2027,ven.,Scolastico,
22/05/2027,sab.,Scolastico,
23/05/2027,dom.,Festivo,
24/05/2027,lun.,Scolastico,
25/05/2027,mar.,Scolastico,
26/05/2027,mer.,Scolastico,
27/05/2027,gio.,Scolastico,
28/05/2027,ven.,Scolastico,
29/05/2027,sab.,Scolastico,
30/05/2027,dom.,Festivo,
31/05/2027,lun.,Scolastico,
01/06/2027,mar.,Scolastico,
02/06/2027,mer.,Festivo,FESTA DELLA REPUBBLICA
03/06/2027,gio.,Scolastico,
04/06/2027,ven.,Scolastico,
05/06/2027,sab.,Scolastico,
06/06/2027,dom.,Festivo,
07/06/2027,lun.,Scolastico,
08/06/2027,mar.,Scolastico,
09/06/2027,mer.,Scolastico,
10/06/2027,gio.,Scolastico,TERMINE LEZIONI
11/06/2027,ven.,Vacanza (Estiva),
12/06/2027,sab.,Vacanza (Estiva),
13/06/2027,dom.,Vacanza (Estiva),
14/06/2027,lun.,Vacanza (Estiva),
15/06/2027,mar.,Vacanza (Estiva),
16/06/2027,mer.,Vacanza (Estiva),
17/06/2027,gio.,Vacanza (Estiva),
18/06/2027,ven.,Vacanza (Estiva),
19/06/2027,sab.,Vacanza (Estiva),
20/06/2027,dom.,Vacanza (Estiva),
21/06/2027,lun.,Vacanza (Estiva),
22/06/2027,mar.,Vacanza (Estiva),
23/06/2027,mer.,Vacanza (Estiva),
24/06/2027,gio.,Vacanza (Estiva),
25/06/2027,ven.,Vacanza (Estiva),
26/06/2027,sab.,Vacanza (Estiva),
27/06/2027,dom.,Vacanza (Estiva),
28/06/2027,lun.,Vacanza (Estiva),
29/06/2027,mar.,Vacanza (Estiva),
30/06/2027,mer.,Vacanza (Estiva),TERMINE SCUOLA INFANZIA
