Stagionalita,,FER,FER,FER,FEST,FER,FER,SCO,FEST,FER,FER,SCO,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,FER,FER,,FER,FER,FER,FER,,FER,FER,,FER,,FER,,FER,,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,,,,,,,,,,,,,,,,
Note,,,,,#,,,Scol,,,,Scol,,,,#,,,,,,#,,,,,,#,,,,,,,#,,,,,,#,,,,,,,,#,,,,,,,,#,,,,K,K,K,K,K,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,,,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,
BORGARO T.SE - via Lanzo/via Martiri,4:48,5:18,5:48,5:48,6:03,6:18,6:18,6:48,6:48,7:03,7:03,7:18,7:33,7:48,8:18,8:33,8:48,9:18,9:33,9:48,10:18,10:33,10:48,11:18,11:33,11:48,12:18,12:33,12:48,13:18,13:33,13:48,14:03,14:18,14:33,14:48,15:18,15:33,15:48,16:18,16:33,16:48,17:18,17:33,17:48,18:03,18:18,18:33,18:33,18:48,19:03,19:18,19:33,19:33,19:53,20:13,20:33,21:03,21:33,22:03,22:33,23:03,23:33,0:03,0:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"CASELLE T.SE - via Torino, 99",4:55,5:25,5:55,5:55,6:10,6:25,6:25,6:55,6:55,7:10,7:10,7:25,7:40,7:55,8:25,8:40,8:55,9:25,9:40,9:55,10:25,10:40,10:55,11:25,11:40,11:55,12:25,12:40,12:55,13:25,13:40,13:55,14:10,14:25,14:40,14:55,15:25,15:40,15:55,16:25,16:40,16:55,17:25,17:40,17:55,18:10,18:25,18:40,18:40,18:55,19:10,19:25,19:40,19:40,20:00,20:20,20:40,21:10,21:40,22:10,22:40,23:10,23:40,0:10,0:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"CASELLE T.SE - str. Aeroporto, 44",4:57,5:27,5:57,5:57,6:12,6:27,6:27,6:57,6:57,7:12,7:12,7:27,7:42,7:57,8:27,8:42,8:57,9:27,9:42,9:57,10:27,10:42,10:57,11:27,11:42,11:57,12:27,12:42,12:57,13:27,13:42,13:57,14:12,14:27,14:42,14:57,15:27,15:42,15:57,16:27,16:42,16:57,17:27,17:42,17:57,18:12,18:27,18:42,18:42,18:57,19:12,19:27,19:42,19:42,20:02,20:22,20:42,21:12,21:42,22:12,22:42,23:12,23:42,0:12,0:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TORINO - Aeroporto (Caselle),5:00,5:30,6:00,6:00,6:15,6:30,6:30,7:00,7:00,7:15,7:15,7:30,7:45,8:00,8:30,8:45,9:00,9:30,9:45,10:00,10:30,10:45,11:00,11:30,11:45,12:00,12:30,12:45,13:00,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:30,15:45,16:00,16:30,16:45,17:00,17:30,17:45,18:00,18:15,18:30,18:45,18:45,19:00,19:15,19:30,19:45,19:45,20:05,20:25,20:45,21:15,21:45,22:15,22:45,23:15,23:45,0:15,0:15,7:37,8:07,8:37,9:07,9:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:37,15:07,15:37,16:07,16:37,17:07,17:37,20:37,21:37,22:37,23:37,8:07,9:07,10:07,11:07,12:07,13:07,14:07,15:07,16:07,17:07,18:07,19:07,20:07,21:07,22:07,23:07

Linea,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268
ID_Corsa,C1070,C1001,C1066,C1002,C1071,C1003,C1067,C1004,C1068,C1005,C1069,C1006,C1007,C1008,C1009,C1010,C1073,C1011,C1012,C1014,C1075,C1016,C1018,C1077,C1020,C1022,C1079,C1024,C1026,C1081,C1028,C1030,C1083,C1032,C1034,C1085,C1036,C1038,C1087,C1040,C1042,C1089,C1044,C1046,C1091,C1048,C1050,C1094,C1052,C1054,C1096,C1056,C1098,C1058,C1100,C1060,C1102,C1062,C1104,C1064,C1105,C1013,C1015,C1017,C1019,C1021,C1023,C1025,C1027,C1029,C1031,C1033,C1035,C1037,C1039,C1041,C1043,C1045,C1047,C1049,C1051,C1053,C1055,C1057,C1059,C1061,C1063,C1072,C1074,C1076,C1078,C1080,C1082,C1084,C1086,C1088,C1090,C1092,C1095,C1097,C1099,C1101,C1103,C1065,C1093
Giorni,8,12345,6,12345,8,12345,6,12345,8,12345,6,12345,12345,12345,12345,12345,8,12345,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,12345,8,12345,8,12345,8,12345,8,12345,8,12345,8,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2345,6
Stagionalita,,FER,FER,FER,,FER,FER,SCO,FEST,FER,FER,SCO,FER,FER,FER,FER,,FER,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,FER,,FER,,FER,,FER,,FER,,FER,,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,FER,,,,,,,,,,,,,,,,,FER,FER
Note,,,,,#,,,Scol,,,,Scol,,,,,,,,,#,,,,,,#,,,,,,#,,,,,,#,,,,,,#,,,,,,#,,,,#,,,,K,K,K,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,EXPRESS,,NFF,K
