Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
29116,30005B,283,PINEROLO - Piazza Cavour,14:15:00,CANTALUPA,14:45:00,FALSE,Pi0540
28079,30034S,283,CANTALUPA,14:45:00,PINEROLO - Piazza Cavour,15:03:00,FALSE,Pi0540
28135,RPN01,901,TORRE PELLICE,6:05:00,PINEROLO - movicentro,6:35:00,FALSE,Pi0560
29466,033CB,282,PINEROLO - movicentro,6:36:00,TORINO - Autostazione c.so Bolzano,7:47:00,FALSE,Pi0560
28656,N14,275,TORINO - Autostazione c.so Bolzano,8:11:00,PINEROLO - Piazza Cavour,9:20:00,FALSE,Pi0560
29673,21040,279,PINEROLO - Ist. Immacolata,13:30:00,TORRE PELLICE,14:07:00,FALSE,Pi0560
28134,RPN11,901,TORRE PELLICE,14:10:00,PINEROLO - movicentro,14:45:00,FALSE,Pi0560
28733,186A,282,PINEROLO - movicentro,15:18:00,PINEROLO - Piazza Cavour,15:20:00,TRUE,Pi0560
28590,186B,282,PINEROLO - Piazza Cavour,15:20:00,PEROSA ARG.-Pzza Terzo Alpini,15:50:00,FALSE,Pi0560
28178,223A,275,PEROSA ARG.-Pzza Terzo Alpini,16:30:00,Villar Perosa-Via Nazionale-SP Sestriere,16:40:00,FALSE,Pi0560
29459,239D,275,Villar Perosa - Stabilimento TEKFOR A,17:00:00,Pinerolo Bivio Sede SAPAV,17:27:00,FALSE,Pi0560
29660,1,278,PINEROLO - Piazza Cavour,7:00:00,VIGONE - Piazza Corte,7:20:00,FALSE,Pi0580
29661,14,278,VIGONE - Via Torino/Via Verdi,7:25:00,PINEROLO - movicentro,8:10:00,FALSE,Pi0580
28491,148F,275,Pinerolo Bivio Sede SAPAV,13:10:00,Villar Perosa Stabilimento SKF,13:35:00,FALSE,Pi0580
28122,RPN28,901,PINEROLO - movicentro,13:50:00,TORRE PELLICE,14:25:00,FALSE,Pi0580
28143,RP308,901,TORRE PELLICE,15:05:00,PINEROLO - movicentro,15:40:00,FALSE,Pi0580
29238,207,281,PINEROLO - Ist. Immacolata,16:05:00,GERBOLE DI VOLVERA,16:45:00,FALSE,Pi0580
28804,22100B,284,None Via Pinerolo,17:20:00,SEGGIOVIA VANDALINO,18:35:00,FALSE,Pi0580
29680,031B,281,PINEROLO - Stazione FS (Via Brignone),6:55:00,Volvera-str Piossasco,7:20:00,FALSE,Pi0610
29266,064B,281,Volvera-str Piossasco,7:30:00,PINEROLO - stazione FS,7:55:00,FALSE,Pi0610
28638,091B,275,PINEROLO - movicentro,7:56:00,TORINO - Autostazione c.so Bolzano,8:59:00,FALSE,Pi0610
28718,110DA,282,TORINO - Autostazione c.so Bolzano,11:03:00,PINEROLO - movicentro,12:14:00,FALSE,Pi0610
28577,110DB,282,PINEROLO - movicentro,12:18:00,PEROSA ARG.-Pzza Terzo Alpini,12:50:00,FALSE,Pi0610
28558,165A,282,PEROSA ARG.-Pzza Terzo Alpini,12:50:00,PINEROLO - movicentro,13:22:00,FALSE,Pi0610
29523,19SB,278,PINEROLO - Stazione FS (Via Brignone),14:15:00,VIGONE,14:40:00,FALSE,Pi0610
29524,19BS,278,VIGONE,14:40:00,PINEROLO - movicentro,15:10:00,FALSE,Pi0610
28309,10S,703,PIN - Fiugera,13:30:00,Frazione Pascaretto,14:05:00,FALSE,Pi0620
28406,126C,281,PINEROLO Centro Studi,14:30:00,PEROSA ARG.-Pzza Terzo Alpini,15:00:00,FALSE,Pi0620
28506,205AB,275,PER - V. Nazionale 6 (Deposito Ex Sapav),16:42:00,PINEROLO - movicentro,17:12:00,TRUE,Pi0620
28927,N13,282,PINEROLO - movicentro,17:16:00,TORINO - Autostazione c.so Bolzano,18:40:00,FALSE,Pi0620
28706,260A,282,TORINO - Autostazione c.so Bolzano,19:03:00,PINEROLO - movicentro,20:14:00,FALSE,Pi0620
29239,138A,281,PINEROLO Centro Studi,13:30:00,PORTE,13:42:00,FALSE,Pi0720
28407,126D,281,PINEROLO Centro Studi,14:30:00,PEROSA ARG.-Pzza Terzo Alpini,15:00:00,FALSE,Pi0720
28557,199A,282,PEROSA ARG.-Pzza Terzo Alpini,15:10:00,PINEROLO - movicentro,15:42:00,FALSE,Pi0720
28690,199B,282,PINEROLO - movicentro,15:46:00,TORINO - Autostazione c.so Bolzano,17:10:00,FALSE,Pi0720
28653,238B,275,TORINO - Autostazione c.so Bolzano,17:15:00,PINEROLO - Piazza Cavour,18:24:00,FALSE,Pi0720
28087,30010,283,PINEROLO - Piazza Cavour,18:30:00,CANTALUPA,19:00:00,FALSE,Pi0720
28077,30035,283,CANTALUPA,19:00:00,PINEROLO - Piazza Cavour,19:20:00,FALSE,Pi0720
28476,30018,283,PINEROLO - Piazza Cavour,19:35:00,CANTALUPA,19:55:00,FALSE,Pi0720
28081,30031,283,CANTALUPA,19:55:00,PINEROLO - Piazza Cavour,20:13:00,FALSE,Pi0720
29563,8,701,PINEROLO - movicentro,5:30:00,MACELLO - Municipio,5:48:00,FALSE,Pi0930
28291,1,701,MACELLO - Municipio,5:50:00,S.Pietro Val Lemina - via Europa fr 61,6:20:00,FALSE,Pi0930
29559,9,701,S.Pietro Val Lemina - via Europa 61,6:20:00,MACELLO - Municipio,7:00:00,FALSE,Pi0930
28292,2,701,MACELLO - Municipio,7:05:00,S.Pietro Val Lemina - via Europa fr 61,7:35:00,FALSE,Pi0930
29151,10,701,S.Pietro Val Lemina - via Europa 61,7:35:00,Pinerolo Centro Studi (C.Torino/Rochis),8:00:00,FALSE,Pi0930
28722,109,701,PIN - Str. Vecchia di Buriasco-Via Seves,8:19:00,S.Pietro Val Lemina - via Europa fr 61,8:36:00,FALSE,Pi0930
29556,109A,701,S.Pietro Val Lemina - via Europa 61,8:40:00,MACELLO - Municipio,9:20:00,FALSE,Pi0930
29692,136A,281,PINEROLO - Fronte Stazione FS,13:15:00,SAN GERMANO CHISONE,13:45:00,FALSE,Pi0930
28492,185E,275,Villar Perosa Stabilimento SKF,14:15:00,Pinerolo Bivio Sede SAPAV,14:40:00,FALSE,Pi0930
29013,22080,284,Pinerolo Bivio Sede SAPAV,6:00:00,AIRASCA - stabilimento SKF,6:15:00,FALSE,Pi0950
29007,175,280,AIRASCA - stabilimento SKF,6:30:00,BARGE-Viale Mazzini/Cavallotta,7:22:00,FALSE,Pi0950
29670,21053,279,BIBIANA CENTRO,7:45:00,Pinerolo Centro Studi (C.Torino/Rochis),8:15:00,FALSE,Pi0950
28091,30004,283,PINEROLO - Piazza Cavour,12:20:00,CANTALUPA,12:50:00,FALSE,Pi0950
28164,30023,283,CANTALUPA,12:50:00,PINEROLO - Piazza Cavour,13:15:00,FALSE,Pi0950
29242,147A,281,PINEROLO - Via Saluzzo (ENEL),13:25:00,GERBOLE DI VOLVERA,14:08:00,FALSE,Pi0950
29697,156A,281,GERBOLE DI VOLVERA,14:08:00,PINEROLO - stazione FS,14:38:00,FALSE,Pi0950
29418,N16,265,PONT S.MARTIN-pzza IV Novembre,6:22:00,IVREA - Porta Vercelli,6:50:00,FALSE,Pt0010
28841,2209A,265,IVREA - Porta Vercelli,6:50:00,IVREA - loc Banchette,6:59:00,FALSE,Pt0010
29161,2209B,265,IVREA - loc Banchette,7:01:00,TORINO - Autostazione c.so Bolzano,7:56:00,FALSE,Pt0010
29599,4436A,265,TORINO - Autostazione c.so Bolzano,8:15:00,STRAMBINO - c.so Torino 44,9:25:00,FALSE,Pt0010
29402,4436B,265,STRAMBINO - c.so Torino 44,9:27:00,PONT S.MARTIN-pzza IV Novembre,10:11:00,FALSE,Pt0010
29443,2221A,265,PONT S.MARTIN-pzza IV Novembre,10:52:00,IVREA - Stazione FS est,11:26:00,FALSE,Pt0010
29640,2221B,265,IVREA - Stazione FS est,11:28:00,CHIVASSO - Staz. FS Movicentro,12:18:00,FALSE,Pt0010
29630,2280A,265,CHIVASSO - Staz. FS Movicentro,12:43:00,IVREA - Stazione FS int,13:33:00,FALSE,Pt0010
29430,2280B,265,IVREA - Stazione FS int,13:35:00,PONT S.MARTIN-pzza IV Novembre,14:05:00,FALSE,Pt0010
29414,4406A,265,PONT S.MARTIN-pzza IV Novembre,12:22:00,IVREA - loc Banchette,12:59:00,FALSE,Pt0011
29165,4406B,265,IVREA - loc Banchette,13:01:00,TORINO - Autostazione c.so Bolzano,13:56:00,FALSE,Pt0011
29053,N5A,265,TORINO - Autostazione c.so Bolzano,14:06:00,IVREA - loc Banchette,15:07:00,FALSE,Pt0011
29404,N5B,265,IVREA - loc Banchette,15:09:00,PONT S.MARTIN-pzza IV Novembre,15:42:00,FALSE,Pt0011
29441,N31A,265,PONT S.MARTIN-pzza IV Novembre,17:52:00,IVREA - Stazione FS est,18:26:00,FALSE,Pt0011
29636,N31B,265,IVREA - Stazione FS est,18:28:00,CHIVASSO - Staz. FS Movicentro,19:18:00,FALSE,Pt0011
29624,2194A,265,CHIVASSO - Staz. FS Movicentro,19:43:00,IVREA - Stazione FS int,20:33:00,FALSE,Pt0011
29424,2194B,265,IVREA - Stazione FS int,20:35:00,PONT S.MARTIN-pzza IV Novembre,21:05:00,FALSE,Pt0011
29410,4437A,265,PONT S.MARTIN-pzza IV Novembre,6:47:00,STRAMBINO - c.so Torino 45,7:30:00,FALSE,Pt0020
29654,4437B,265,STRAMBINO - c.so Torino 45,7:32:00,TORINO - Autostazione c.so Bolzano,8:48:00,FALSE,Pt0020
29054,4401A,265,TORINO - Autostazione c.so Bolzano,12:06:00,IVREA - loc Banchette,13:07:00,FALSE,Pt0020
29406,4401B,265,IVREA - loc Banchette,13:09:00,PONT S.MARTIN-pzza IV Novembre,13:42:00,FALSE,Pt0020
29416,4435,265,PONT S.MARTIN-pzza IV Novembre,13:47:00,CALUSO - Liceo,14:52:00,FALSE,Pt0020
29438,4414,265,CALUSO - Liceo,14:58:00,PONT S.MARTIN-pzza IV Novembre,15:58:00,FALSE,Pt0020
29415,2214B,265,PONT S.MARTIN-pzza IV Novembre,6:43:00,STRAMBINO - c.so Torino 45,7:27:00,FALSE,Pt0030
29408,2295B,265,STRAMBINO - c.so Torino 44,7:30:00,PONT S.MARTIN-pzza IV Novembre,8:14:00,FALSE,Pt0030
29411,2227A,265,PONT S.MARTIN-pzza IV Novembre,12:52:00,STRAMBINO - c.so Torino 45,13:35:00,FALSE,Pt0030
29655,2227B,265,STRAMBINO - c.so Torino 45,13:37:00,TORINO - Autostazione c.so Bolzano,14:58:00,FALSE,Pt0030
29057,2282A,265,TO-p.za Cattaneo-Mirafiori FCA,16:10:00,CHIVASSO - p.le Alfa-Lancia,17:06:00,FALSE,Pt0030
29614,2282B,265,CHIVASSO - p.le Alfa-Lancia,17:08:00,IVREA - Stazione FS int,17:46:00,FALSE,Pt0030
29409,2282C,265,IVREA - Stazione FS int,17:48:00,PONT S.MARTIN-pzza IV Novembre,18:18:00,FALSE,Pt0030
29419,N17,265,PONT S.MARTIN-pzza IV Novembre,6:40:00,IVREA - Porta Vercelli,7:08:00,FALSE,Pt0040
28478,2211,265,IVREA - Porta Vercelli,7:08:00,CALUSO - Liceo,7:45:00,FALSE,Pt0040
29437,2291,265,CALUSO - Liceo,7:45:00,PONT S.MARTIN-pzza IV Novembre,8:45:00,FALSE,Pt0040
29435,2235A,265,PONT S.MARTIN-pzza IV Novembre,16:02:00,IVREA - Stazione FS est,16:36:00,FALSE,Pt0040
29645,2235B,265,IVREA - Stazione FS est,16:38:00,CHIVASSO - Staz. FS Movicentro,17:33:00,FALSE,Pt0040
29625,N41A,265,CHIVASSO - Staz. FS Movicentro,17:43:00,IVREA - Stazione FS int,18:33:00,FALSE,Pt0040
29425,N41B,265,IVREA - Stazione FS int,18:35:00,PONT S.MARTIN-pzza IV Novembre,19:05:00,FALSE,Pt0040
29420,N35,265,IVREA - Stazione FS int,6:34:00,PONT S.MARTIN-pzza IV Novembre,7:00:00,FALSE,Pt0050
29445,N37A,265,PONT S.MARTIN-pzza IV Novembre,7:52:00,IVREA - Stazione FS est,8:26:00,FALSE,Pt0050
29641,N37B,265,IVREA - Stazione FS est,8:28:00,CHIVASSO - Staz. FS Movicentro,9:18:00,FALSE,Pt0050
29623,N3A,265,CHIVASSO - Staz. FS Movicentro,9:43:00,IVREA - Stazione FS int,10:33:00,FALSE,Pt0050
29432,N3B,265,IVREA - Stazione FS int,10:35:00,PONT S.MARTIN-pzza IV Novembre,11:05:00,FALSE,Pt0050
29436,4410A,265,PONT S.MARTIN-pzza IV Novembre,13:52:00,IVREA - Stazione FS est,14:26:00,FALSE,Pt0050
29646,4410B,265,IVREA - Stazione FS est,14:28:00,CHIVASSO - Staz. FS Movicentro,15:23:00,FALSE,Pt0050
29626,2298A,265,CHIVASSO - Staz. FS Movicentro,15:43:00,IVREA - Stazione FS int,16:33:00,FALSE,Pt0050
29426,2298B,265,IVREA - Stazione FS int,16:35:00,PONT S.MARTIN-pzza IV Novembre,17:05:00,FALSE,Pt0050
28765,2259,265,CALUSO - via De Brissac 23,7:00:00,IVREA - Porta Aosta,7:38:00,FALSE,Pt0060
29444,4408A,265,PONT S.MARTIN-pzza IV Novembre,11:52:00,IVREA - Stazione FS est,12:26:00,FALSE,Pt0060
29638,4408B,265,IVREA - Stazione FS est,12:28:00,CHIVASSO - Staz. FS Movicentro,13:18:00,FALSE,Pt0060
29631,4404A,265,CHIVASSO - Staz. FS Movicentro,13:43:00,IVREA - Stazione FS int,14:33:00,FALSE,Pt0060
29431,4404B,265,IVREA - Stazione FS int,14:35:00,PONT S.MARTIN-pzza IV Novembre,15:05:00,FALSE,Pt0060
29417,N15,265,PONT S.MARTIN-pzza IV Novembre,5:57:00,IVREA - Porta Vercelli,6:25:00,FALSE,Pt0070
28839,2207A,265,IVREA - Porta Vercelli,6:25:00,IVREA - loc Banchette,6:34:00,FALSE,Pt0070
29160,2207B,265,IVREA - loc Banchette,6:36:00,TORINO - Autostazione c.so Bolzano,7:31:00,FALSE,Pt0070
29055,2252A,265,TORINO - Autostazione c.so Bolzano,7:50:00,IVREA - loc Banchette,8:51:00,FALSE,Pt0070
29405,2252B,265,IVREA - loc Banchette,8:53:00,PONT S.MARTIN-pzza IV Novembre,9:26:00,FALSE,Pt0070
29442,N22A,265,PONT S.MARTIN-pzza IV Novembre,14:52:00,IVREA - Stazione FS est,15:26:00,FALSE,Pt0070
29637,N22B,265,IVREA - Stazione FS est,15:28:00,CHIVASSO - Staz. FS Movicentro,16:18:00,FALSE,Pt0070
29633,2276A,265,CHIVASSO - Staz. FS Movicentro,16:43:00,IVREA - Stazione FS int,17:33:00,FALSE,Pt0070
29433,2276B,265,IVREA - Stazione FS int,17:35:00,PONT S.MARTIN-pzza IV Novembre,18:05:00,FALSE,Pt0070
29597,2206A,265,PONT S.MARTIN-pzza IV Novembre,5:25:00,IVREA - Stazione FS est,5:59:00,FALSE,Pt0080
29613,2206B,265,IVREA - Stazione FS est,6:01:00,CHIVASSO - p.le Alfa-Lancia,6:38:00,FALSE,Pt0080
28837,2206C,265,CHIVASSO - p.le Alfa-Lancia,6:40:00,TO-Settembrini-Mirafiori FCA,7:45:00,FALSE,Pt0080
29056,4402A,265,TORINO - Autostazione c.so Bolzano,12:50:00,STRAMBINO - c.so Torino 44,14:00:00,FALSE,Pt0080
29407,4402B,265,STRAMBINO - c.so Torino 44,14:02:00,PONT S.MARTIN-pzza IV Novembre,14:46:00,FALSE,Pt0080
29448,2205A,265,PONT S.MARTIN-pzza IV Novembre,5:05:00,IVREA - Stazione FS est,5:39:00,FALSE,Pt0090
29635,2205B,265,IVREA - Stazione FS est,5:41:00,CHIVASSO - Staz. FS Movicentro,6:31:00,FALSE,Pt0090
29651,2260A,265,CHIVASSO - Staz. FS Movicentro,6:35:00,IVREA - Stazione FS int,7:33:00,FALSE,Pt0090
29421,2260B,265,IVREA - Stazione FS int,7:35:00,PONT S.MARTIN-pzza IV Novembre,8:05:00,FALSE,Pt0090
29449,2219A,265,PONT S.MARTIN-pzza IV Novembre,9:52:00,IVREA - Stazione FS est,10:26:00,FALSE,Pt0090
29639,2219B,265,IVREA - Stazione FS est,10:28:00,CHIVASSO - Staz. FS Movicentro,11:18:00,FALSE,Pt0090
29632,N23A,265,CHIVASSO - Staz. FS Movicentro,12:23:00,IVREA - Stazione FS int,13:13:00,FALSE,Pt0090
29427,N23B,265,IVREA - Stazione FS int,13:15:00,PONT S.MARTIN-pzza IV Novembre,13:45:00,FALSE,Pt0090
29413,2212A,265,PONT S.MARTIN-pzza IV Novembre,14:22:00,IVREA - loc Banchette,14:59:00,FALSE,Pt0100
29164,2212B,265,IVREA - loc Banchette,15:01:00,TORINO - Autostazione c.so Bolzano,15:56:00,FALSE,Pt0100
29598,4413A,265,TORINO - Autostazione c.so Bolzano,18:15:00,STRAMBINO - c.so Torino 44,19:25:00,FALSE,Pt0100
29401,4413B,265,STRAMBINO - c.so Torino 44,19:27:00,PONT S.MARTIN-pzza IV Novembre,20:11:00,FALSE,Pt0100
29447,4416A,265,PONT S.MARTIN-pzza IV Novembre,20:22:00,IVREA - Stazione FS est,20:56:00,FALSE,Pt0100
29634,4416B,265,IVREA - Stazione FS est,20:58:00,CHIVASSO - Staz. FS Movicentro,21:48:00,FALSE,Pt0100
29622,N12A,265,CHIVASSO - Staz. FS Movicentro,22:12:00,IVREA - Stazione FS int,23:02:00,FALSE,Pt0100
29423,N12B,265,IVREA - Stazione FS int,23:04:00,PONT S.MARTIN-pzza IV Novembre,23:34:00,FALSE,Pt0100
29213,11016,TO-110,Pont-Saint-Martin - stazione fs,6:50:00,Aosta Autostazione,8:10:00,FALSE,Pt0611
29209,11021,TO-110,Aosta Autostazione,8:45:00,Pont-Saint-Martin - stazione fs,10:05:00,FALSE,Pt0611
29214,11032,TO-110,Pont-Saint-Martin - stazione fs,10:45:00,Aosta Autostazione,12:05:00,FALSE,Pt0611
29210,11035,TO-110,Aosta Autostazione,13:35:00,Pont-Saint-Martin - stazione fs,14:55:00,FALSE,Pt0611
29215,11042,TO-110,Pont-Saint-Martin - stazione fs,15:15:00,Aosta Autostazione,16:35:00,FALSE,Pt0612
29211,11049,TO-110,Aosta Autostazione,17:15:00,Pont-Saint-Martin - stazione fs,18:35:00,FALSE,Pt0612
29216,11056,TO-110,Pont-Saint-Martin - stazione fs,19:45:00,Aosta Autostazione,21:05:00,FALSE,Pt0612
29212,11061,TO-110,Aosta Autostazione,21:15:00,Pont-Saint-Martin - stazione fs,22:35:00,FALSE,Pt0612
28277,504,286,OULX - Stazione FS,6:50:00,SUSA - stazione FS,7:30:00,FALSE,Sa0010
28269,201,286,SUSA - stazione FS,7:30:00,GIAGLIONE,7:40:00,FALSE,Sa0010
28281,302,286,GIAGLIONE,7:40:00,SUSA - piazza IV Novembre,7:50:00,FALSE,Sa0010
28456,609,286,SUSA - stazione FS,7:55:00,OULX - Stazione FS,8:35:00,FALSE,Sa0010
29552,0002DB,285,OULX - Stazione FS,11:20:00,CLAVIERE,11:55:00,FALSE,Sa0010
29555,0003EB,285,CLAVIERE,11:55:00,OULX - Stazione FS,12:30:00,FALSE,Sa0010
29259,518,286,OULX - Stazione FS,13:10:00,SUSA - stazione FS,13:55:00,FALSE,Sa0010
29570,523,286,SUSA - stazione FS,14:15:00,OULX - Stazione FS,14:55:00,FALSE,Sa0010
29526,0010S,285,OULX - Stazione FS,15:05:00,SAUZE D'OULX,15:20:00,FALSE,Sa0010
29527,0025S,285,SAUZE D'OULX,15:20:00,OULX - Stazione FS,15:35:00,FALSE,Sa0010
28036,0011D,285,OULX - Stazione FS,15:45:00,SAUZE D'OULX,16:00:00,FALSE,Sa0010
28247,0026A,285,SAUZE D'OULX,16:00:00,OULX - Stazione FS,16:15:00,FALSE,Sa0010
28049,0002A,285,OULX - Stazione FS,6:45:00,SAUZE D'OULX,7:00:00,FALSE,Sa0020
29250,0017A,285,SAUZE D'OULX,7:25:00,OULX - piazza Garambois,7:40:00,FALSE,Sa0020
28817,0003B,285,OULX - piazza Garambois,7:45:00,Bardonecchia Capolinea,8:10:00,FALSE,Sa0020
29255,0008A,285,Bardonecchia Capolinea,8:15:00,OULX - piazza Garambois,8:35:00,FALSE,Sa0020
28041,0005A,285,OULX - Stazione FS,9:45:00,SAUZE D'OULX,10:00:00,FALSE,Sa0020
28253,0020A,285,SAUZE D'OULX,10:00:00,OULX - Stazione FS,10:15:00,FALSE,Sa0020
29549,0002D,285,OULX - Stazione FS,10:40:00,CLAVIERE,11:15:00,FALSE,Sa0020
29554,0001G,285,CLAVIERE,11:15:00,OULX - Stazione FS,11:50:00,FALSE,Sa0020
29251,0003D,285,OULX - piazza Garambois,12:15:00,Bardonecchia Capolinea,12:40:00,FALSE,Sa0020
28814,0009C,285,Bardonecchia Capolinea,12:40:00,OULX - piazza Garambois,13:05:00,FALSE,Sa0020
29253,0004D,285,OULX - piazza Garambois,13:05:00,Bardonecchia Capolinea,13:30:00,FALSE,Sa0020
28815,0011C,285,Bardonecchia Capolinea,13:30:00,OULX - Stazione FS,13:55:00,FALSE,Sa0020
28816,0001D,285,OULX - Stazione FS,6:50:00,Bardonecchia Capolinea,7:15:00,FALSE,Sa0030
29254,0006A,285,Bardonecchia Capolinea,7:15:00,OULX - piazza Garambois,7:40:00,FALSE,Sa0030
29574,0004B,285,OULX - Stazione FS,13:05:00,Cesana fr Municipio,13:25:00,FALSE,Sa0030
29571,0031A,285,Cesana fr Municipio,13:25:00,SAUZE DI CESANA,13:35:00,FALSE,Sa0030
29189,0041A,285,SAUZE DI CESANA,13:40:00,Cesana Municipio,13:50:00,FALSE,Sa0030
28262,0006E,285,Cesana Municipio,15:10:00,CLAVIERE,15:25:00,FALSE,Sa0030
28060,0007B,285,CLAVIERE,15:25:00,Cesana Municipio,15:35:00,FALSE,Sa0030
28263,0008C,285,Cesana Municipio,15:35:00,CLAVIERE,15:50:00,FALSE,Sa0030
29553,0003E,285,CLAVIERE,15:50:00,OULX - Stazione FS,16:25:00,FALSE,Sa0030
28037,0012D,285,OULX - Stazione FS,16:45:00,SAUZE D'OULX,17:00:00,FALSE,Sa0030
28248,0027B,285,SAUZE D'OULX,17:00:00,OULX - Stazione FS,17:15:00,FALSE,Sa0030
28257,0005G,285,OULX - Stazione FS,17:45:00,SESTRIERE - parcheggio,18:30:00,FALSE,Sa0030
28048,0001A,285,OULX - Stazione FS,5:45:00,SAUZE D'OULX,6:00:00,FALSE,Sa0040
28256,0016A,285,SAUZE D'OULX,6:00:00,OULX - Stazione FS,6:15:00,FALSE,Sa0040
29136,0001C,285,OULX - Stazione FS,6:45:00,SESTRIERE - parcheggio,7:30:00,FALSE,Sa0040
28422,125DA,275,SESTRIERE - parcheggio,7:30:00,PEROSA ARG.-Pzza Terzo Alpini,8:40:00,FALSE,Sa0040
28543,072B,275,PER - V. Nazionale 6 (Deposito Ex Sapav),9:19:00,PEROSA ARG.-Pzza Terzo Alpini,9:20:00,TRUE,Sa0040
28437,072BS,275,PEROSA ARG.-Pzza Terzo Alpini,9:20:00,SESTRIERE - parcheggio,10:30:00,FALSE,Sa0040
29127,0012A,285,SESTRIERE - parcheggio,10:30:00,OULX - Stazione FS,11:15:00,FALSE,Sa0040
29260,616,286,OULX - Stazione FS,13:10:00,SUSA - stazione FS,14:00:00,FALSE,Sa0050
28258,0007C,285,OULX - Stazione FS,15:45:00,SESTRIERE - parcheggio,16:30:00,FALSE,Sa0050
29129,0016BB,285,SESTRIERE - parcheggio,16:30:00,OULX - Stazione FS,17:15:00,FALSE,Sa0050
28045,0013A,285,OULX - Stazione FS,17:45:00,SAUZE D'OULX,18:00:00,FALSE,Sa0050
28245,0028A,285,SAUZE D'OULX,18:00:00,OULX - Stazione FS,18:15:00,FALSE,Sa0050
28035,0014D,285,OULX - Stazione FS,18:45:00,SAUZE D'OULX,19:00:00,FALSE,Sa0050
28239,0029B,285,SAUZE D'OULX,19:00:00,OULX - Stazione FS,19:15:00,FALSE,Sa0050
28044,0015C,285,OULX - Stazione FS,19:45:00,SAUZE D'OULX,20:00:00,FALSE,Sa0050
28244,0030B,285,SAUZE D'OULX,20:00:00,OULX - Stazione FS,20:15:00,FALSE,Sa0050
28052,0009A,285,Cesana Municipio,6:00:00,OULX - Stazione FS,6:20:00,FALSE,Sa0060
29551,0002F,285,OULX - Stazione FS,6:30:00,CLAVIERE,7:05:00,FALSE,Sa0060
29248,0001E,285,CLAVIERE,7:10:00,OULX - Stazione FS,7:45:00,FALSE,Sa0060
28259,0001F,285,OULX - Stazione FS,7:50:00,SESTRIERE - parcheggio,8:35:00,FALSE,Sa0060
28264,N27,285,SESTRIERE - parcheggio,8:35:00,OULX - Stazione FS,9:20:00,FALSE,Sa0060
28051,0005C,285,OULX - Stazione FS,11:45:00,SAUZE D'OULX,12:00:00,FALSE,Sa0060
28250,0021D,285,SAUZE D'OULX,12:00:00,OULX - Stazione FS,12:15:00,FALSE,Sa0060
28040,0007A,285,OULX - Stazione FS,12:30:00,SAUZE D'OULX,12:45:00,FALSE,Sa0060
28240,0022A,285,SAUZE D'OULX,12:45:00,OULX - Stazione FS,13:00:00,FALSE,Sa0060
29572,0002E,285,OULX - Stazione FS,13:05:00,CLAVIERE,13:40:00,FALSE,Sa0060
28061,0005D,285,CLAVIERE,13:50:00,Cesana Municipio,14:05:00,FALSE,Sa0060
29532,0014B,285,Cesana Municipio,14:05:00,OULX - Stazione FS,14:25:00,FALSE,Sa0060
29188,0021A,285,SAUZE DI CESANA,7:15:00,Cesana Municipio,7:25:00,FALSE,Sa0070
29249,0010A,285,Cesana Municipio,7:25:00,OULX - Stazione FS,7:45:00,FALSE,Sa0070
28043,0003A,285,OULX - Stazione FS,7:50:00,SAUZE D'OULX,8:05:00,FALSE,Sa0070
28255,0018A,285,SAUZE D'OULX,8:05:00,OULX - Stazione FS,8:20:00,FALSE,Sa0070
28047,0004A,285,OULX - Stazione FS,8:45:00,SAUZE D'OULX,9:00:00,FALSE,Sa0070
28252,0019A,285,SAUZE D'OULX,9:00:00,OULX - Stazione FS,9:15:00,FALSE,Sa0070
28261,0003C,285,Cesana Municipio,11:00:00,SESTRIERE - parcheggio,11:25:00,FALSE,Sa0070
29128,0014A,285,SESTRIERE - parcheggio,12:04:00,OULX - Stazione FS,12:49:00,FALSE,Sa0070
29252,0008B,285,OULX - piazza Garambois,13:05:00,SAUZE D'OULX,13:20:00,FALSE,Sa0070
28246,0023A,285,SAUZE D'OULX,13:20:00,OULX - Stazione FS,13:35:00,FALSE,Sa0070
29141,N25,285,OULX - Stazione FS,13:45:00,SESTRIERE - parcheggio,14:30:00,FALSE,Sa0070
29130,0014C,285,SESTRIERE - parcheggio,14:30:00,OULX - Stazione FS,15:15:00,FALSE,Sa0070
29573,0004C,285,OULX - Stazione FS,13:05:00,SESTRIERE - parcheggio,13:50:00,FALSE,Sa0080
28421,201AS,275,SESTRIERE - parcheggio,13:50:00,PEROSA ARG.-Pzza Terzo Alpini,15:00:00,FALSE,Sa0080
28541,218DB,275,PINEROLO - movicentro,17:48:00,PEROSA ARG.-Pzza Terzo Alpini,18:20:00,FALSE,Sa0080
28443,218DS,275,PEROSA ARG.-Pzza Terzo Alpini,18:20:00,SESTRIERE - parcheggio,19:30:00,FALSE,Sa0080
29123,0015B,285,SESTRIERE - parcheggio,19:30:00,OULX - Stazione FS,20:15:00,FALSE,Sa0080
29576,015S,286,SUSA - stazione FS,16:05:00,Novalesa,16:20:00,FALSE,Su0010
29263,018S,286,Novalesa,16:20:00,SUSA - stazione FS,16:35:00,FALSE,Su0010
28724,046B,274,SUSA - stazione FS,16:35:00,FERRIERA - TEKFOR,17:20:00,FALSE,Su0010
29512,43,274,FERRIERA - TEKFOR,17:20:00,SUSA - stazione FS,18:05:00,FALSE,Su0010
