Corsa,Codice corsa,Codice linea,Partenza,Ora partenza,Arrivo,Ora arrivo,Flag spezzata,Turno
28139,RPN13,901,TORRE PELLICE,17:05:00,PINEROLO - movicentro,17:40:00,FALSE,Pi0030
28556,004A,275,PINEROLO - movicentro,4:28:00,FENESTRELLE - Via Nazionale,5:30:00,FALSE,Pi0040
28486,002A,275,FENESTRELLE - Via Nazionale,5:30:00,SESTRIERE - parcheggio,6:10:00,FALSE,Pi0040
28424,087A,275,SESTRIERE - parcheggio,6:10:00,PEROSA ARG.-Pzza Terzo Alpini,7:20:00,FALSE,Pi0040
28723,091S,275,PEROSA ARG.-Pzza Terzo Alpini,7:24:00,Pinerolo Centro Studi (C.Torino/Rochis),8:00:00,FALSE,Pi0040
28808,070A,275,Volvera-str Piossasco,8:12:00,PINEROLO - movicentro,8:42:00,FALSE,Pi0040
29463,149,281,PINEROLO - Stazione FS (Via Brignone),14:15:00,GERBOLE DI VOLVERA,14:45:00,FALSE,Pi0040
29489,156B,281,GERBOLE DI VOLVERA,14:50:00,PINEROLO - stazione FS,15:15:00,FALSE,Pi0040
28627,N19,275,PINEROLO - Piazza Cavour,5:10:00,TORINO - Autostazione c.so Bolzano,6:19:00,FALSE,Pi0050
28830,054C,282,TORINO - Autostazione c.so Bolzano,6:43:00,PINEROLO - Piazza Cavour,8:00:00,FALSE,Pi0050
29665,11S,278,PINEROLO - Piazza Cavour,13:30:00,Buriasco Piazza Roma,13:55:00,FALSE,Pi0050
29667,05S,278,Buriasco Piazza Roma,13:55:00,PINEROLO - Fronte Stazione FS,14:10:00,FALSE,Pi0050
28600,2,700,PINEROLO Centro Studi,14:20:00,Pinerolo - Via Novarea,14:29:00,FALSE,Pi0050
28766,2211A,281,PINEROLO - Via Saluzzo (ENEL),14:30:00,SCALENGHE - via Cavour,15:05:00,FALSE,Pi0050
28767,2213A,281,SCALENGHE - via Cavour,15:10:00,PINEROLO - Fronte Stazione FS,15:30:00,FALSE,Pi0050
29687,60,281,GERBOLE DI VOLVERA,7:25:00,PINEROLO - stazione FS,8:00:00,FALSE,Pi0060
28648,143DB,275,Pinerolo Bivio Sede SAPAV,12:23:00,TORINO - Autostazione c.so Bolzano,13:19:00,TRUE,Pi0060
28712,172C,282,TORINO - Autostazione c.so Bolzano,13:33:00,PINEROLO - movicentro,14:44:00,FALSE,Pi0060
29241,215,281,PINEROLO - Stazione FS (Via Brignone),15:00:00,GERBOLE DI VOLVERA,15:40:00,FALSE,Pi0060
29240,215R,281,GERBOLE DI VOLVERA,15:40:00,PINEROLO - stazione FS,16:15:00,FALSE,Pi0060
29186,194A,281,PINEROLO - Fronte Stazione FS,16:15:00,VILLAR PEROSA - via Nazionale,16:35:00,FALSE,Pi0060
28092,30009B,283,PINEROLO - Piazza Cavour,17:00:00,CANTALUPA,17:30:00,FALSE,Pi0060
28084,30025B,283,CANTALUPA,17:30:00,PINEROLO - Piazza Cavour,17:55:00,FALSE,Pi0060
29504,3,278,PINEROLO - c.so Torino-MACUMBA,7:15:00,CERCENASCO - Via Umberto I,7:35:00,FALSE,Pi0080
29488,8,278,VIGONE,7:40:00,PINEROLO - Piazza Cavour,8:05:00,FALSE,Pi0080
28128,RPN26,901,PINEROLO - movicentro,12:50:00,TORRE PELLICE,13:25:00,FALSE,Pi0080
28133,RP306,901,TORRE PELLICE,13:35:00,PINEROLO - movicentro,14:10:00,FALSE,Pi0080
28917,RPN32,901,PINEROLO - movicentro,14:20:00,TORRE PELLICE,14:55:00,FALSE,Pi0080
28137,22022B,901,TORRE PELLICE,15:35:00,PINEROLO - movicentro,16:10:00,FALSE,Pi0080
28736,23,278,PINEROLO - Via Saluzzo (ENEL),16:30:00,MACELLO - Municipio,16:50:00,FALSE,Pi0080
28322,24,278,MACELLO - Municipio,16:50:00,PINEROLO - Piazza Cavour,17:17:00,FALSE,Pi0080
28317,27,278,PINEROLO - Piazza Cavour,17:40:00,CERCENASCO - v. Reg.Margherita,18:20:00,FALSE,Pi0080
28316,28,278,CERCENASCO - v. Reg.Margherita,18:25:00,PINEROLO - Piazza Cavour,19:10:00,FALSE,Pi0080
29664,15,278,PINEROLO - Stazione FS (Via Brignone),13:25:00,VIGONE - Piazza Corte,13:50:00,FALSE,Pi0090
29462,19S,278,PINEROLO - Piazza Cavour,14:10:00,OSASIO - piazza Castello,14:55:00,FALSE,Pi0090
29503,22B,278,OSASIO - piazza Castello,15:00:00,PINEROLO - Piazza Cavour,15:50:00,FALSE,Pi0090
28401,21045,279,PINEROLO - Ist. Immacolata,16:12:00,TORRE PELLICE,16:58:00,FALSE,Pi0090
28378,21048,279,TORRE PELLICE,17:05:00,BOBBIO PELLICE,17:21:00,FALSE,Pi0090
28362,21025,279,BOBBIO PELLICE,18:16:00,TORRE PELLICE,18:32:00,FALSE,Pi0090
28734,29,278,PINEROLO - Piazza Cavour,19:10:00,CERCENASCO - v. Reg.Margherita,19:40:00,FALSE,Pi0090
28321,30,278,CERCENASCO - v. Reg.Margherita,19:40:00,PINEROLO - Piazza Cavour,20:10:00,FALSE,Pi0090
29659,04B,278,CER - SP 138-Via XX Settembre,6:45:00,PINEROLO - Ist. Immacolata,7:20:00,FALSE,Pi0120
28318,05D,278,PINEROLO - stazione FS,7:30:00,MACELLO - Municipio,7:55:00,FALSE,Pi0120
28324,16,278,MACELLO - Municipio,7:55:00,PINEROLO - stazione FS,8:15:00,FALSE,Pi0120
28331,9,703,Pinerolo Frazione Riva (Domarossa),11:30:00,PIN - Fiugera,11:57:00,FALSE,Pi0120
28339,8,703,PIN - Fiugera,12:10:00,RIVA DI PINEROLO -Via Maestra/Aurora,12:35:00,FALSE,Pi0120
28794,30015S,283,PINEROLO - Piazza Cavour,13:20:00,CANTALUPA,13:47:00,FALSE,Pi0120
29702,30028B,283,CANTALUPA,13:50:00,PINEROLO - Piazza Cavour,14:07:00,FALSE,Pi0120
28919,21,278,PINEROLO - Stazione FS (Via Brignone),14:30:00,VIRLE PIEMONTE - via Carignano,15:20:00,FALSE,Pi0120
29268,RP314R,901,PINEROLO - movicentro,6:50:00,TORRE PELLICE,7:20:00,FALSE,Pi0130
29111,21006,279,TORRE PELLICE,7:25:00,Pinerolo Centro Studi (C.Torino/Rochis),8:00:00,FALSE,Pi0130
29585,112,701,PINEROLO - movicentro,13:45:00,MACELLO - Municipio,14:03:00,FALSE,Pi0130
28294,103,701,MACELLO - Municipio,14:05:00,S.Pietro Val Lemina - via Europa fr 61,14:35:00,FALSE,Pi0130
29584,114,701,S.Pietro Val Lemina - via Europa 61,14:40:00,MACELLO - Municipio,15:20:00,FALSE,Pi0130
28308,16,703,PIN - Fiugera,16:00:00,Frazione Pascaretto,16:35:00,FALSE,Pi0130
28326,17,703,Pinerolo Frazione Riva (Domarossa),16:40:00,PIN - Fiugera,17:07:00,FALSE,Pi0130
29152,18,703,PIN - Fiugera,17:10:00,Pinerolo Frazione Riva (Domarossa),17:40:00,FALSE,Pi0130
28330,19,703,Pinerolo Frazione Riva (Domarossa),17:40:00,PIN - Fiugera,18:08:00,FALSE,Pi0130
28337,20,703,PIN - Fiugera,18:20:00,Pinerolo Frazione Riva (Domarossa),18:50:00,FALSE,Pi0130
29772,024A,275,PINEROLO-stabilimento TN ITALY,6:00:00,PEROSA ARG.-Pzza Terzo Alpini,6:30:00,FALSE,Pi0140
29684,083A,281,FENESTRELLE - Via Nazionale,7:10:00,PEROSA ARG.-Pzza Terzo Alpini,7:40:00,FALSE,Pi0140
28521,081C,275,PEROSA ARG.-Pzza Terzo Alpini,7:40:00,PINEROLO - Piazza Cavour,8:10:00,FALSE,Pi0140
28626,089D,275,PINEROLO - Piazza Cavour,8:10:00,TORINO - Autostazione c.so Bolzano,9:19:00,FALSE,Pi0140
28650,N12,275,TORINO - Autostazione c.so Bolzano,11:41:00,PINEROLO - Piazza Cavour,12:50:00,FALSE,Pi0140
29701,30011B,283,PINEROLO - Ist. Immacolata,13:30:00,CANTALUPA,14:00:00,FALSE,Pi0140
29272,30024S,283,CANTALUPA,14:20:00,PINEROLO - Piazza Cavour,14:50:00,FALSE,Pi0140
28475,30017,283,PINEROLO - Piazza Cavour,17:35:00,CANTALUPA,17:55:00,FALSE,Pi0190
28159,30026B,283,CANTALUPA,17:55:00,PINEROLO - Piazza Cavour,18:25:00,FALSE,Pi0190
28688,247B,282,PINEROLO - movicentro,18:46:00,TORINO - Autostazione c.so Bolzano,19:57:00,FALSE,Pi0190
