DATA,Turno Prog,,Orario Turno,ore Riposo,RIP Giornaliero e SETTIMANALE,Giorno Recupero,,,,,Ora inizio,Ora Fine,Riposo,Turno,Inizio Turno,Fine Turno,,Scolastico,Festivo Infrasettimanale (8),Feriali Lunedì-Venerdì (12345),Lunedì-Venerdì,Sabato (6),Domenica (7),Domenica e Festivi (78),Festivo (8),Natale,Pasqua,Agosto,Agosto Centrali
dom 21 giu 26,To2080,,13:42 - 22:10,235.47.00,REGOLARE,,0.00.00,,,22/06,13.42.00,22.10.00,235.47.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 22 giu 26,To2060,,11:40 - 20:10,13.30.00,GIORNALIERO,,0.00.00,,,23/06,11.40.00,20.10.00,13.30.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 23 giu 26,To2050,,06:58 - 17:55,10.48.00,GIORN. RIDOTTO,,0.00.00,,,24/06,6.58.00,17.55.00,10.48.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mer 24 giu 26,To2040,,08:05 - 16:00,14.10.00,GIORNALIERO,,0.00.00,,,25/06,8.05.00,16.00.00,14.10.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
gio 25 giu 26,To2020,,06:05 - 14:02,14.05.00,GIORNALIERO,,0.00.00,,,27/06,6.05.00,14.02.00,14.05.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ven 26 giu 26,RIP,,RIP,0.00.00,RIP,,0.00.00,,,27/06,0.00.00,0.00.00,9.58.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sab 27 giu 26,To2080,,13:42 - 22:10,47.40.00,REGOLARE,,0.00.00,,,28/06,13.42.00,22.10.00,47.40.00,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dom 28 giu 26,To2060,,11:40 - 20:10,13.30.00,GIORNALIERO,,0.00.00,,,29/06,11.40.00,20.10.00,13.30.00,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
lun 29 giu 26,To2040,,08:05 - 16:00,11.55.00,GIORNALIERO,,0.00.00,,,30/06,8.05.00,16.00.00,11.55.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mar 30 giu 26,To2030,,07:05 - 15:02,15.05.00,GIORNALIERO,,0.00.00,,,01/07,7.05.00,15.02.00,15.05.00,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
